;roomType;roomPrice;roomURL;hostType;rating;countReviews;;Kitchen;Smoking allowed;Pool;Laundry room;Dryer;WiFi;Ethernet connection;TV;Pets Allowed;Patio;Crib;Bedroom 2;Baby bath;Unavailable: Lock on bedroom door;Sauna;Refrigerator;Waterfront;View;Long term stays allowed;Breakfast;Bedroom;Lock on bedroom door;High Chair;Lit path to the guest entrance;HDTV;Elevator;Accessible;Security Cameras;Bathroom;Smoke Alarm;EV Charger;Parking;Fire pit;Microwave;Washer;Luggage Dropoff Allowed;Air Conditioning;Hot Tub;Bathtub;Carbon Monoxide Alarm
21;Microcasa;237.0;https://www.airbnb.com/rooms/1136907557000548593?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_FNFd%2Fg1WR4b2KNHN&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;superhost;;;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1
22;Contêiner;545.0;https://www.airbnb.com/rooms/1055754082469386736?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_PE87OJJ8jktSJmS5&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.94;16;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1
23;Loft;296.0;https://www.airbnb.com/rooms/931939471188015248?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_uhr9K5gsxJoa1twI&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;5.0;36;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
24;Microcasa;151.0;https://www.airbnb.com/rooms/53947871?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_6qnPo0F%2FdFRa6Y8G&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.99;115;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
25;Lugar;742.0;https://www.airbnb.com/rooms/702030711897717339?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_XBSqS17KLG4tXrQK&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.89;37;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1
26;Loft;290.0;https://www.airbnb.com/rooms/53673889?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_WQFPCT%2Bx9ZE3vS%2B%2F&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.98;127;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1
27;Loft;99.0;https://www.airbnb.com/rooms/53941364?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_vD3h45gAXAMg2yO%2F&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.93;123;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
28;Chalé;522.0;https://www.airbnb.com/rooms/1099504292068237220?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_zUvQsYYajfuOS21P&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;5.0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Casa;439.0;https://www.airbnb.com/rooms/51469898?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_stbtxd0NEEHgiiq%2F&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.92;36;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1
30;Chalé;249.0;https://www.airbnb.com/rooms/13108715?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_fpMPUvRgiM4a96yH&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;superhost;4.89;263;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
